,date,value,state
0,1984-01-01,22098584,AL
1,1984-04-01,22799835,AL
2,1984-07-01,22981172,AL
3,1984-10-01,23825476,AL
4,1985-01-01,24415596,AL
5,1985-04-01,24570122,AL
6,1985-07-01,23982228,AL
7,1985-10-01,25060742,AL
8,1986-01-01,25847242,AL
9,1986-04-01,26915414,AL
10,1986-07-01,27633493,AL
11,1986-10-01,28383387,AL
12,1987-01-01,28836316,AL
13,1987-04-01,28990428,AL
14,1987-07-01,29434642,AL
15,1987-10-01,30341721,AL
16,1988-01-01,30735068,AL
17,1988-04-01,31490694,AL
18,1988-07-01,31781182,AL
19,1988-10-01,32910923,AL
20,1989-01-01,33305457,AL
21,1989-04-01,33863329,AL
22,1989-07-01,34690632,AL
23,1989-10-01,35458297,AL
24,1990-01-01,35876941,AL
25,1990-04-01,36339680,AL
26,1990-07-01,37033291,AL
27,1990-10-01,38122391,AL
28,1991-01-01,38596401,AL
29,1991-04-01,39008159,AL
30,1991-07-01,39459364,AL
31,1991-10-01,40351595,AL
32,1992-01-01,40955317,AL
33,1992-04-01,41481369,AL
34,1992-07-01,41694543,AL
35,1992-10-01,42789598,AL
36,1993-01-01,43372919,AL
37,1993-04-01,44487995,AL
38,1993-07-01,45200744,AL
39,1993-10-01,46108496,AL
40,1994-01-01,46775522,AL
41,1994-04-01,48248450,AL
42,1994-07-01,49218820,AL
43,1994-10-01,49916020,AL
44,1995-01-01,50766612,AL
45,1995-04-01,52589726,AL
46,1995-07-01,54079585,AL
47,1995-10-01,55284742,AL
48,1996-01-01,56855749,AL
49,1996-04-01,58288074,AL
50,1996-07-01,60338752,AL
51,1996-10-01,61885671,AL
52,1997-01-01,62921420,AL
53,1997-04-01,88103511,AL
54,1997-07-01,97966145,AL
55,1997-10-01,98388410,AL
56,1998-01-01,106538119,AL
57,1998-04-01,111774708,AL
58,1998-07-01,119618690,AL
59,1998-10-01,135256791,AL
60,1999-01-01,138485255,AL
61,1999-04-01,142374300,AL
62,1999-07-01,148570161,AL
63,1999-10-01,177345233,AL
64,2000-01-01,177993656,AL
65,2000-04-01,179891696,AL
66,2000-07-01,179239473,AL
67,2000-10-01,178295224,AL
68,2001-01-01,182243581,AL
69,2001-04-01,183446693,AL
70,2001-07-01,183688750,AL
