,date,value,state
0,1975-01-01,73.24,AL
1,1975-04-01,71.4,AL
2,1975-07-01,74.38,AL
3,1975-10-01,70.87,AL
4,1976-01-01,77.06,AL
5,1976-04-01,76.78,AL
6,1976-07-01,77.67,AL
7,1976-10-01,79.89,AL
8,1977-01-01,82.08,AL
9,1977-04-01,85.08,AL
10,1977-07-01,88.55,AL
11,1977-10-01,88.77,AL
12,1978-01-01,89.51,AL
13,1978-04-01,90.2,AL
14,1978-07-01,97.62,AL
15,1978-10-01,97.08,AL
16,1979-01-01,100.44,AL
17,1979-04-01,101.01,AL
18,1979-07-01,102.08,AL
19,1979-10-01,109.41,AL
20,1980-01-01,100.0,AL
21,1980-04-01,102.5,AL
22,1980-07-01,111.13,AL
23,1980-10-01,109.21,AL
24,1981-01-01,108.01,AL
25,1981-04-01,110.59,AL
26,1981-07-01,114.01,AL
27,1981-10-01,110.01,AL
28,1982-01-01,109.66,AL
29,1982-04-01,109.97,AL
30,1982-07-01,108.76,AL
31,1982-10-01,115.59,AL
32,1983-01-01,117.52,AL
33,1983-04-01,115.19,AL
34,1983-07-01,118.29,AL
35,1983-10-01,115.37,AL
36,1984-01-01,123.62,AL
37,1984-04-01,120.88,AL
38,1984-07-01,125.99,AL
39,1984-10-01,122.7,AL
40,1985-01-01,122.69,AL
41,1985-04-01,125.49,AL
42,1985-07-01,128.41,AL
43,1985-10-01,129.21,AL
44,1986-01-01,130.38,AL
45,1986-04-01,132.75,AL
46,1986-07-01,134.9,AL
47,1986-10-01,137.07,AL
48,1987-01-01,139.01,AL
49,1987-04-01,140.37,AL
50,1987-07-01,140.76,AL
51,1987-10-01,139.1,AL
52,1988-01-01,143.35,AL
53,1988-04-01,144.17,AL
54,1988-07-01,143.73,AL
55,1988-10-01,142.28,AL
56,1989-01-01,142.77,AL
57,1989-04-01,144.2,AL
58,1989-07-01,146.78,AL
59,1989-10-01,147.77,AL
60,1990-01-01,146.9,AL
61,1990-04-01,148.15,AL
62,1990-07-01,148.55,AL
63,1990-10-01,148.67,AL
64,1991-01-01,149.99,AL
65,1991-04-01,152.13,AL
66,1991-07-01,153.0,AL
67,1991-10-01,155.52,AL
68,1992-01-01,156.77,AL
69,1992-04-01,157.2,AL
70,1992-07-01,160.13,AL
71,1992-10-01,161.35,AL
72,1993-01-01,162.61,AL
73,1993-04-01,164.28,AL
74,1993-07-01,167.21,AL
75,1993-10-01,168.6,AL
76,1994-01-01,169.56,AL
77,1994-04-01,171.81,AL
78,1994-07-01,172.43,AL
79,1994-10-01,172.68,AL
80,1995-01-01,174.41,AL
81,1995-04-01,177.68,AL
82,1995-07-01,180.45,AL
83,1995-10-01,182.0,AL
84,1996-01-01,185.31,AL
85,1996-04-01,185.11,AL
86,1996-07-01,185.61,AL
87,1996-10-01,187.83,AL
88,1997-01-01,189.62,AL
89,1997-04-01,191.07,AL
90,1997-07-01,194.02,AL
91,1997-10-01,196.56,AL
92,1998-01-01,199.79,AL
93,1998-04-01,201.48,AL
94,1998-07-01,203.52,AL
95,1998-10-01,206.06,AL
96,1999-01-01,206.64,AL
97,1999-04-01,207.55,AL
98,1999-07-01,207.94,AL
99,1999-10-01,209.46,AL
100,2000-01-01,210.36,AL
101,2000-04-01,212.01,AL
102,2000-07-01,213.76,AL
103,2000-10-01,216.46,AL
104,2001-01-01,222.81,AL
105,2001-04-01,223.85,AL
106,2001-07-01,225.33,AL
107,2001-10-01,227.88,AL
108,2002-01-01,228.32,AL
109,2002-04-01,229.51,AL
110,2002-07-01,232.95,AL
111,2002-10-01,235.59,AL
112,2003-01-01,237.92,AL
113,2003-04-01,240.13,AL
114,2003-07-01,241.81,AL
115,2003-10-01,243.22,AL
116,2004-01-01,245.62,AL
117,2004-04-01,247.19,AL
118,2004-07-01,251.66,AL
119,2004-10-01,255.51,AL
120,2005-01-01,258.85,AL
121,2005-04-01,265.01,AL
122,2005-07-01,270.45,AL
123,2005-10-01,276.0,AL
124,2006-01-01,281.55,AL
125,2006-04-01,286.26,AL
126,2006-07-01,290.82,AL
127,2006-10-01,296.57,AL
128,2007-01-01,298.47,AL
129,2007-04-01,302.8,AL
130,2007-07-01,303.3,AL
131,2007-10-01,305.78,AL
