,date,value,state
0,1997-01-01,103009,AL
1,1998-01-01,109068,AL
2,1999-01-01,115215,AL
3,2000-01-01,119677,AL
4,2001-01-01,123819,AL
5,2002-01-01,129243,AL
6,2003-01-01,135910,AL
7,2004-01-01,148396,AL
8,2005-01-01,157520,AL
9,2006-01-01,164820,AL
10,2007-01-01,169689,AL
11,2008-01-01,173251,AL
12,2009-01-01,169052,AL
13,2010-01-01,175734,AL
14,2011-01-01,181848,AL
15,2012-01-01,189542,AL
16,2013-01-01,193566,AL
0,1997-01-01,60959,AR
1,1998-01-01,63241,AR
2,1999-01-01,67783,AR
3,2000-01-01,70000,AR
4,2001-01-01,71902,AR
5,2002-01-01,74673,AR
6,2003-01-01,79568,AR
7,2004-01-01,86813,AR
8,2005-01-01,93719,AR
9,2006-01-01,99883,AR
10,2007-01-01,103592,AR
11,2008-01-01,107854,AR
12,2009-01-01,105841,AR
13,2010-01-01,111355,AR
14,2011-01-01,115582,AR
15,2012-01-01,118993,AR
16,2013-01-01,124218,AR
0,1997-01-01,132573,AZ
1,1998-01-01,143348,AZ
2,1999-01-01,156181,AZ
3,2000-01-01,165803,AZ
4,2001-01-01,171517,AZ
5,2002-01-01,179211,AZ
6,2003-01-01,192100,AZ
7,2004-01-01,204074,AZ
8,2005-01-01,226290,AZ
9,2006-01-01,247833,AZ
10,2007-01-01,262380,AZ
11,2008-01-01,259058,AZ
12,2009-01-01,243331,AZ
13,2010-01-01,247752,AZ
14,2011-01-01,258187,AZ
15,2012-01-01,271503,AZ
16,2013-01-01,279024,AZ
0,1997-01-01,1085261,CA
1,1998-01-01,1160427,CA
2,1999-01-01,1262556,CA
3,2000-01-01,1382299,CA
4,2001-01-01,1399772,CA
5,2002-01-01,1450452,CA
6,2003-01-01,1534559,CA
7,2004-01-01,1642982,CA
8,2005-01-01,1759869,CA
9,2006-01-01,1866312,CA
10,2007-01-01,1949059,CA
11,2008-01-01,1978113,CA
12,2009-01-01,1906376,CA
13,2010-01-01,1953411,CA
14,2011-01-01,2030468,CA
15,2012-01-01,2125717,CA
16,2013-01-01,2202678,CA
0,1997-01-01,137371,CO
1,1998-01-01,148906,CO
2,1999-01-01,162153,CO
3,2000-01-01,178114,CO
4,2001-01-01,184827,CO
5,2002-01-01,188371,CO
6,2003-01-01,194631,CO
7,2004-01-01,204354,CO
8,2005-01-01,221491,CO
9,2006-01-01,232381,CO
10,2007-01-01,244349,CO
11,2008-01-01,254760,CO
12,2009-01-01,248177,CO
13,2010-01-01,256628,CO
14,2011-01-01,266243,CO
15,2012-01-01,278551,CO
16,2013-01-01,294443,CO
0,1997-01-01,141808,CT
1,1998-01-01,148570,CT
2,1999-01-01,154873,CT
3,2000-01-01,167878,CT
4,2001-01-01,172668,CT
5,2002-01-01,175606,CT
6,2003-01-01,182466,CT
7,2004-01-01,199394,CT
8,2005-01-01,209599,CT
9,2006-01-01,222953,CT
10,2007-01-01,236036,CT
11,2008-01-01,236060,CT
12,2009-01-01,230005,CT
13,2010-01-01,233781,CT
14,2011-01-01,235121,CT
15,2012-01-01,242930,CT
16,2013-01-01,249251,CT
0,1997-01-01,34844,DE
1,1998-01-01,36980,DE
2,1999-01-01,39704,DE
3,2000-01-01,42473,DE
4,2001-01-01,43158,DE
5,2002-01-01,43018,DE
6,2003-01-01,45418,DE
7,2004-01-01,49495,DE
8,2005-01-01,51963,DE
9,2006-01-01,55011,DE
10,2007-01-01,56381,DE
11,2008-01-01,54156,DE
12,2009-01-01,56090,DE
13,2010-01-01,57628,DE
14,2011-01-01,58612,DE
15,2012-01-01,60650,DE
16,2013-01-01,62703,DE
0,1997-01-01,408673,FL
1,1998-01-01,432149,FL
2,1999-01-01,460183,FL
3,2000-01-01,491450,FL
4,2001-01-01,519531,FL
5,2002-01-01,549614,FL
6,2003-01-01,584377,FL
7,2004-01-01,635769,FL
8,2005-01-01,699197,FL
9,2006-01-01,747470,FL
10,2007-01-01,773521,FL
11,2008-01-01,753012,FL
12,2009-01-01,721684,FL
13,2010-01-01,728604,FL
14,2011-01-01,736347,FL
15,2012-01-01,769007,FL
16,2013-01-01,800492,FL
0,1997-01-01,238219,GA
1,1998-01-01,264422,GA
2,1999-01-01,288105,GA
3,2000-01-01,305721,GA
4,2001-01-01,317331,GA
5,2002-01-01,324214,GA
6,2003-01-01,335136,GA
7,2004-01-01,352883,GA
8,2005-01-01,376048,GA
9,2006-01-01,393840,GA
10,2007-01-01,409935,GA
11,2008-01-01,408682,GA
12,2009-01-01,404045,GA
13,2010-01-01,410902,GA
14,2011-01-01,421564,GA
15,2012-01-01,438324,GA
16,2013-01-01,454532,GA
0,1997-01-01,38126,HI
1,1998-01-01,37606,HI
2,1999-01-01,39207,HI
3,2000-01-01,41348,HI
4,2001-01-01,42805,HI
5,2002-01-01,45207,HI
6,2003-01-01,48566,HI
7,2004-01-01,53325,HI
8,2005-01-01,58074,HI
9,2006-01-01,61608,HI
10,2007-01-01,64793,HI
11,2008-01-01,66423,HI
12,2009-01-01,65084,HI
13,2010-01-01,67285,HI
14,2011-01-01,69755,HI
15,2012-01-01,72512,HI
16,2013-01-01,75235,HI
0,1997-01-01,84097,IA
1,1998-01-01,85757,IA
2,1999-01-01,88954,IA
3,2000-01-01,95085,IA
4,2001-01-01,96328,IA
5,2002-01-01,100534,IA
6,2003-01-01,107073,IA
7,2004-01-01,118515,IA
8,2005-01-01,123903,IA
9,2006-01-01,128085,IA
10,2007-01-01,136818,IA
11,2008-01-01,135907,IA
12,2009-01-01,136511,IA
13,2010-01-01,141814,IA
14,2011-01-01,148997,IA
15,2012-01-01,156606,IA
16,2013-01-01,165767,IA
0,1997-01-01,29728,ID
1,1998-01-01,31095,ID
2,1999-01-01,34322,ID
3,2000-01-01,38356,ID
4,2001-01-01,37838,ID
5,2002-01-01,39190,ID
6,2003-01-01,41110,ID
7,2004-01-01,44377,ID
8,2005-01-01,47899,ID
9,2006-01-01,51632,ID
10,2007-01-01,54921,ID
11,2008-01-01,55787,ID
12,2009-01-01,54063,ID
13,2010-01-01,55427,ID
14,2011-01-01,56956,ID
15,2012-01-01,58231,ID
16,2013-01-01,62247,ID
0,1997-01-01,419988,IL
1,1998-01-01,444487,IL
2,1999-01-01,466894,IL
3,2000-01-01,494485,IL
4,2001-01-01,505826,IL
5,2002-01-01,514524,IL
6,2003-01-01,531529,IL
7,2004-01-01,560104,IL
8,2005-01-01,587637,IL
9,2006-01-01,623078,IL
10,2007-01-01,646172,IL
11,2008-01-01,642245,IL
12,2009-01-01,636975,IL
13,2010-01-01,652681,IL
14,2011-01-01,676911,IL
15,2012-01-01,704138,IL
16,2013-01-01,720692,IL
0,1997-01-01,173872,IN
1,1998-01-01,187171,IN
2,1999-01-01,196062,IN
