,date,value,state
0,1970-01-01,16.654,AL
1,1971-01-01,17.7,AL
2,1972-01-01,19.1,AL
3,1973-01-01,20.0,AL
4,1974-01-01,20.1,AL
5,1975-01-01,20.4,AL
6,1976-01-01,21.0,AL
7,1977-01-01,21.5,AL
8,1978-01-01,21.7,AL
9,1979-01-01,22.2,AL
10,1980-01-01,21.953000000000003,AL
11,1981-01-01,21.976,AL
12,1982-01-01,21.965999999999998,AL
13,1983-01-01,21.801,AL
14,1984-01-01,22.13,AL
15,1985-01-01,22.206999999999997,AL
16,1986-01-01,22.115,AL
17,1987-01-01,21.838,AL
18,1988-01-01,21.74,AL
19,1989-01-01,21.864,AL
20,1990-01-01,22.113000000000003,AL
21,1991-01-01,22.043000000000003,AL
22,1992-01-01,22.318,AL
23,1993-01-01,22.717,AL
24,1994-01-01,23.23,AL
25,1995-01-01,23.49,AL
26,1996-01-01,23.923000000000002,AL
27,1997-01-01,24.186,AL
28,1998-01-01,24.344,AL
29,1999-01-01,24.679000000000002,AL
30,2000-01-01,24.819000000000003,AL
31,2001-01-01,24.483,AL
32,2002-01-01,24.409000000000002,AL
33,2003-01-01,24.304000000000002,AL
34,2004-01-01,24.256,AL
35,2005-01-01,24.185,AL
36,2006-01-01,24.269000000000002,AL
37,2007-01-01,24.267,AL
38,2008-01-01,24.043000000000003,AL
39,2009-01-01,23.973000000000003,AL
40,2010-01-01,24.385,AL
41,2011-01-01,24.281,AL
42,2012-01-01,24.108,AL
43,2013-01-01,24.146,AL
0,1970-01-01,45.428000000000004,AR
1,1971-01-01,44.9,AR
2,1972-01-01,45.2,AR
3,1973-01-01,45.6,AR
4,1974-01-01,46.2,AR
5,1975-01-01,46.5,AR
6,1976-01-01,47.2,AR
7,1977-01-01,48.2,AR
8,1978-01-01,49.2,AR
9,1979-01-01,50.1,AR
10,1980-01-01,48.573,AR
11,1981-01-01,48.481,AR
12,1982-01-01,48.547,AR
13,1983-01-01,48.49100000000001,AR
14,1984-01-01,48.558,AR
15,1985-01-01,48.498999999999995,AR
16,1986-01-01,48.04,AR
17,1987-01-01,47.809,AR
18,1988-01-01,47.477,AR
19,1989-01-01,46.725,AR
20,1990-01-01,46.785,AR
21,1991-01-01,46.648999999999994,AR
22,1992-01-01,46.776,AR
23,1993-01-01,46.68,AR
24,1994-01-01,46.497,AR
25,1995-01-01,46.532,AR
26,1996-01-01,46.271,AR
27,1997-01-01,45.878,AR
28,1998-01-01,45.908,AR
29,1999-01-01,45.706,AR
30,2000-01-01,45.56,AR
31,2001-01-01,45.032,AR
32,2002-01-01,45.012,AR
33,2003-01-01,44.617,AR
34,2004-01-01,44.157,AR
35,2005-01-01,43.614,AR
36,2006-01-01,43.467,AR
37,2007-01-01,42.918,AR
38,2008-01-01,42.965,AR
39,2009-01-01,42.771,AR
40,2010-01-01,41.568999999999996,AR
41,2011-01-01,41.369,AR
42,2012-01-01,40.867,AR
43,2013-01-01,40.694,AR
0,1970-01-01,351.667,AZ
1,1971-01-01,380.3,AZ
2,1972-01-01,407.5,AZ
